iterace, aco, random
18,7990,23327
19,7990,23327
20,7990,23327
21,7990,23327
22,7990,23327
23,7990,23327
24,7990,23327
25,7990,23327
26,7990,23327
27,7990,23327
28,7990,23327
29,7990,23327
30,7990,23327
31,7990,23327
32,7990,23327
33,7990,23327
34,7990,23327
35,7990,23327
36,7990,23327
37,7990,23327
38,7990,23327
39,7791,23327
40,7791,23327
41,7791,23327
42,7791,23327
43,7791,23327
44,7791,23327
45,7791,23327
46,7791,23327
47,7791,23327
48,7791,23327
49,7791,23327
0,12674,27160
0,11283,27244
1,11230,26222
1,11283,26977
2,10378,26222
2,10267,26303
3,8929,26222
3,9499,26303
4,8929,25652
5,8929,25652
4,9272,26303
6,8750,25652
5,8775,26303
7,8609,25652
6,8775,26136
8,8609,25652
7,8775,26136
9,8323,25652
8,8494,26136
10,8323,25652
9,8436,26136
10,8436,26136
11,8323,25652
11,8375,26136
12,8323,25652
12,8375,26136
13,8239,25652
13,8336,26136
14,8072,25652
14,8336,26136
15,8072,25652
15,8336,26136
16,8072,25652
16,8336,25944
17,8072,25652
17,8336,25479
18,8072,25652
18,8336,25479
19,8072,25652
19,7960,25479
20,7997,25652
20,7960,25479
21,7997,25652
21,7960,25479
22,7997,25652
22,7960,25257
23,7997,25652
23,7960,25257
24,7997,25652
24,7865,25257
25,7997,25652
25,7865,25257
26,7865,25257
26,7997,25652
27,7865,25257
27,7997,25652
28,7865,25257
28,7997,25652
29,7865,25257
29,7997,25652
30,7865,25257
30,7997,25652
31,7865,25074
31,7997,25582
32,7865,25074
32,7997,25582
33,7865,25074
33,7997,25582
34,7865,25074
34,7997,25582
35,7865,25074
35,7997,25582
36,7865,25074
36,7997,25582
37,7997,25248
37,7771,25074
38,7997,25248
38,7771,25074
39,7997,25248
39,7771,25074
40,7997,25248
40,7771,25074
41,7997,25197
41,7771,25074
42,7997,25197
42,7771,24316
43,7997,25197
43,7771,24316
44,7997,25197
44,7771,24316
45,7997,25197
45,7771,24316
46,7997,24719
46,7771,24316
47,7997,24719
